School Name,School Code,School Type,Town,State,Zip,Grade,District Name,District Code,District Type,PK,K,1,2,3,4,5,6,7,8,9,10,11,12,SP,Total,First Language Not English #,First Language Not English %,English Language Learner #,English Language Learner %,Students With Disabilities #,Students With Disabilities %,Low Income #,Low Income %,High Needs #,High Needs #.1,Economically Disadvantaged #,Economically Disadvantaged %,African American,Asian,Hispanic,White,Native American,"Native Hawaiian, Pacific Islander","Multi-Race, Non-Hispanic",Males,Females,Total # of Classes,Average Class Size,Number of Students,Total # of Teachers,% of Teachers Licensed in Teaching Assignment,Total # of Classes in Core Academic Areas,% of Core Academic Classes Taught by Teachers Who are Highly Qualified,Student / Teacher Ratio,Salary Totals,Average Salary,FTE Count,In-District Expenditures,Total In-district FTEs,In-District Expenditures per Pupil,Total Expenditures,Total Pupil FTEs,Total Expenditures per Pupil,# in Cohort,% Graduated,% Still in School,% Non-Grad Completers,% H.S. Equiv.,% Dropped Out,% Permanently Excluded,# Enrolled Grades 09 through 12,# Dropout All Grades,% Dropout All Grades,High School Graduates (#),Attending Coll./Univ. (#),Attending Coll./Univ. (%),Private Two-Year (%),Private Four-Year (%),Public Two-Year (%),Public Four-Year (%),MA Community College (%),MA State University (%),Univ.of Mass. (%),4Ycollege%,# Graduated,# Completed MassCore,% Completed MassCore,AP Tests Takers,AP Tests Taken,AP One Test,AP Two Tests,AP Three Tests,AP Four Tests,AP Five or More Tests,AP Score=1,AP Score=2,AP Score=3,AP Score=4,AP Score=5,AP % Score 1-2,AP % Score 3-5,SAT Tests Taken,SAT Reading,SAT Math
Hill View Montessori Charter Public (District): Hill View Montessori Charter Public School,04550050,Charter School,Haverhill,MA,01835,"K,01,02,03,04,05,06,07,08",Hill View Montessori Charter Public (District),04550000,Charter District,       0,      34,      36,      32,      33,      32,      33,      35,      33,      28,       0,       0,       0,       0,0.0,     296,      15,   5.1,       5,   1.7,      57,  19.3,      60,  20.3, , , , ,   4.7,   1.4,  14.2,  76.7,   0.0,   0.0,   3.0,  46.6,  53.4,      35,35.5,        289,26.6,66.2,      74,94.6,11.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Hilltown Cooperative Charter Public (District): Hilltown Cooperative Charter Public School,04500105,Charter School,Easthampton,MA,01027,"K,01,02,03,04,05,06,07,08",Hilltown Cooperative Charter Public (District),04500000,Charter District,       0,      18,      18,      19,      19,      19,      19,      20,      17,      16,       0,       0,       0,       0,0.0,     165,       2,   1.2,       1,   0.6,      22,  13.3,      41,  24.8, , , , ,   1.2,   2.4,   4.2,  86.1,   0.6,   0.0,   5.5,  50.9,  49.1,      17,37.1,        165,13.7,83.6,      45,100.0,12.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Hingham: East Elementary School,01310005,Public School,Hingham,MA,02043,"PK,K,01,02,03,04,05",Hingham,01310000,Public School District,      59,      76,      94,      97,     103,      85,      97,       0,       0,       0,       0,       0,       0,       0,0.0,     611,       6,   1.0,       1,   0.2,      75,  12.3,      15,   2.5, , , , ,   0.3,   1.3,   1.0,  95.1,   0.0,   0.0,   2.3,  51.7,  48.3,     201,22.0,        614,37.5,100.0,     172,100.0,16.3,"     $19,329,854","  $73,081",    264.5,"          $42,554,597.55","           4,105.3","              $10,365.77","          $46,178,573.05","           4,169.2","              $11,076.12",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Hingham: Hingham High,01310505,Public School,Hingham,MA,02043,"09,10,11,12",Hingham,01310000,Public School District,       0,       0,       0,       0,       0,       0,       0,       0,       0,       0,     277,     285,     287,     245,3.0,"   1,097",       3,   0.3,       0,   0.0,     145,  13.2,      63,   5.7, , , , ,   1.7,   1.8,   2.2,  90.6,   0.0,   0.0,   3.6,  51.7,  48.3,     442,16.4,"      1,104",76.1,100.0,     408,100.0,14.4,"     $19,329,854","  $73,081",    264.5,"          $42,554,597.55","           4,105.3","              $10,365.77","          $46,178,573.05","           4,169.2","              $11,076.12",       247,95.1,1.6,0.0,0.8,2.4,0.0,"   1,094",16.0,1.5,237.0,208.0,87.8,0.0,56.1042,5.0924,26.6034,3.7753999999999994,2.1072,6.760599999999999,82.7076,237.0,237.0,100.0,188.0,     354,106.0,33.0,22.0,22.0,5.0,5.0,16.0,70.0,120.0,143.0,5.9,94.1,232.0,569.0,584.0
Hingham: Hingham Middle School,01310410,Public School,Hingham,MA,02043,"06,07,08",Hingham,01310000,Public School District,       0,       0,       0,       0,       0,       0,       0,     325,     299,     307,       0,       0,       0,       0,0.0,     931,       2,   0.2,       0,   0.0,     151,  16.2,      38,   4.1, , , , ,   1.2,   0.6,   1.6,  94.0,   0.0,   0.0,   2.6,  50.3,  49.7,     386,19.5,        932,60.2,100.0,     265,100.0,15.5,"     $19,329,854","  $73,081",    264.5,"          $42,554,597.55","           4,105.3","              $10,365.77","          $46,178,573.05","           4,169.2","              $11,076.12",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Hingham: Plymouth River,01310019,Public School,Hingham,MA,02043,"K,01,02,03,04,05",Hingham,01310000,Public School District,       0,      64,      64,     107,      66,      70,      84,       0,       0,       0,       0,       0,       0,       0,0.0,     455,       0,   0.0,       0,   0.0,      43,   9.5,       8,   1.8, , , , ,   1.3,   1.5,   2.9,  92.3,   0.0,   0.2,   1.8,  49.2,  50.8,     156,22.9,        455,27.2,100.0,     139,100.0,16.7,"     $19,329,854","  $73,081",    264.5,"          $42,554,597.55","           4,105.3","              $10,365.77","          $46,178,573.05","           4,169.2","              $11,076.12",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Hingham: South Elementary,01310020,Public School,Hingham,MA,02043,"K,01,02,03,04,05",Hingham,01310000,Public School District,       0,      78,     100,      96,      82,      86,      77,       0,       0,       0,       0,       0,       0,       0,0.0,     519,       8,   1.5,       2,   0.4,      50,   9.6,      21,   4.0, , , , ,   1.5,   1.7,   2.5,  92.7,   0.0,   0.0,   1.5,  55.1,  44.9,     195,20.9,        519,32.3,100.0,     172,100.0,16.0,"     $19,329,854","  $73,081",    264.5,"          $42,554,597.55","           4,105.3","              $10,365.77","          $46,178,573.05","           4,169.2","              $11,076.12",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Hingham: Wm L Foster Elementary,01310010,Public School,Hingham,MA,02043,"K,01,02,03,04,05",Hingham,01310000,Public School District,       0,      74,      98,      71,      80,      78,      86,       0,       0,       0,       0,       0,       0,       0,0.0,     487,       6,   1.2,       2,   0.4,      61,  12.5,      23,   4.7, , , , ,   1.4,   2.5,   1.2,  90.8,   0.0,   0.0,   4.1,  50.3,  49.7,     171,22.2,        483,31.1,96.8,     153,100.0,15.7,"     $19,329,854","  $73,081",    264.5,"          $42,554,597.55","           4,105.3","              $10,365.77","          $46,178,573.05","           4,169.2","              $11,076.12",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Holbrook: Holbrook Middle High School,01330505,Public School,Holbrook,MA,02343,"06,07,08,09,10,11,12",Holbrook,01330000,Public School District,       0,       0,       0,       0,       0,       0,       0,       0,     121,     104,      64,      63,      49,      71,0.0,     472,      55,  11.7,      12,   2.5,      74,  15.7,     177,  37.5, , , , ,  12.9,   3.8,   7.6,  71.8,   0.2,   0.2,   3.4,  53.8,  46.2,     166,17.1,        471,35.4,94.4,     166,84.9,13.3,"      $4,838,433","  $60,030",     80.6,"          $14,099,118.99","           1,177.3","              $11,975.81","          $17,498,497.99","           1,255.5","              $13,937.47",        69,78.3,10.1,1.4,4.3,4.3,1.4,     247,3.0,1.2,57.0,47.0,82.5,0.0,21.0375,40.3425,21.0375,40.3425,10.56,8.745,42.075,57.0,57.0,100.0,26.0,      38,14.0,12.0,0.0,0.0,0.0,8.0,19.0,7.0,2.0,2.0,71.1,28.9,42.0,430.0,448.0
Holbrook: John F Kennedy,01330018,Public School,Holbrook,MA,02343,"PK,K,01,02,03,04,05",Holbrook,01330000,Public School District,      44,      75,     118,      88,     100,       0,       0,       0,       0,       0,       0,       0,       0,       0,0.0,     425,      29,   6.8,       5,   1.2,      71,  16.7,     142,  33.4, , , , ,   9.9,   3.8,   7.8,  72.2,   0.0,   0.0,   6.4,  51.8,  48.2,      60,21.4,        426,24.5,100.0,      87,100.0,17.4,"      $4,838,433","  $60,030",     80.6,"          $14,099,118.99","           1,177.3","              $11,975.81","          $17,498,497.99","           1,255.5","              $13,937.47",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Holland: Holland Elementary,01350005,Public School,Holland,MA,01521,"PK,K,01,02,03,04,05,06",Holland,01350000,Public School District,      27,      32,      21,      30,      36,      27,      30,      42,       0,       0,       0,       0,       0,       0,0.0,     245,       1,   0.4,       1,   0.4,      43,  17.6,      83,  33.9, , , , ,   1.2,   1.2,   4.1,  93.1,   0.0,   0.0,   0.4,  49.4,  50.6,      76,16.7,        243,18.3,100.0,      98,100.0,13.4,"        $998,989","  $54,590",     18.3,"           $2,488,825.00",             250.0,"               $9,955.30","           $2,918,984.00",             254.7,"              $11,460.48",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Holliston: Holliston High,01360505,Public School,Holliston,MA,01746,"09,10,11,12",Holliston,01360000,Public School District,       0,       0,       0,       0,       0,       0,       0,       0,       0,       0,     198,     219,     228,     218,0.0,     863,      23,   2.7,       4,   0.5,     129,  14.9,      20,   2.3, , , , ,   1.7,   2.1,   1.6,  93.7,   0.0,   0.0,   0.8,  53.0,  47.0,     206,16.7,        862,67.6,97.8,     371,99.7,12.8,"     $15,141,086","  $71,152",    212.8,"          $32,776,215.28","           2,863.5","              $11,446.21","          $35,382,281.75","           2,926.8","              $12,089.07",       218,98.2,1.4,0.0,0.0,0.5,0.0,     863,2.0,0.2,215.0,186.0,86.5,0.0,43.25,6.4875,36.7625,5.6225,7.439,13.061499999999999,80.0125,215.0,207.0,96.3,148.0,     235,80.0,53.0,13.0,1.0,1.0,9.0,22.0,63.0,66.0,75.0,13.2,86.8,204.0,547.0,580.0
Holliston: Miller School,01360007,Public School,Holliston,MA,01746,"03,04,05",Holliston,01360000,Public School District,       0,       0,       0,       0,     228,     211,     223,       0,       0,       0,       0,       0,       0,       0,0.0,     662,      22,   3.3,       6,   0.9,     101,  15.3,      36,   5.4, , , , ,   0.9,   3.5,   2.1,  91.1,   0.0,   0.0,   2.4,  50.5,  49.5,     340,20.0,        660,49.6,100.0,     284,100.0,13.3,"     $15,141,086","  $71,152",    212.8,"          $32,776,215.28","           2,863.5","              $11,446.21","          $35,382,281.75","           2,926.8","              $12,089.07",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Holliston: Placentino Elementary,01360010,Public School,Holliston,MA,01746,"PK,K,01,02",Holliston,01360000,Public School District,      91,     187,     217,     205,       0,       0,       0,       0,       0,       0,       0,       0,       0,       0,0.0,     700,      43,   6.1,      22,   3.1,      87,  12.4,      28,   4.0, , , , ,   0.4,   3.9,   3.4,  89.1,   0.1,   0.0,   3.0,  48.3,  51.7,     164,20.1,        697,44.1,100.0,     212,98.1,15.9,"     $15,141,086","  $71,152",    212.8,"          $32,776,215.28","           2,863.5","              $11,446.21","          $35,382,281.75","           2,926.8","              $12,089.07",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Holliston: Robert H. Adams Middle School,01360305,Public School,Holliston,MA,01746,"06,07,08",Holliston,01360000,Public School District,       0,       0,       0,       0,       0,       0,       0,     210,     229,     206,       0,       0,       0,       0,0.0,     645,      17,   2.6,       8,   1.2,     122,  18.9,      31,   4.8, , , , ,   0.5,   2.3,   1.7,  93.6,   0.0,   0.0,   1.9,  48.5,  51.5,     405,13.5,        643,51.5,100.0,     231,99.1,12.5,"     $15,141,086","  $71,152",    212.8,"          $32,776,215.28","           2,863.5","              $11,446.21","          $35,382,281.75","           2,926.8","              $12,089.07",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Holyoke: E N White Elementary,01370045,Public School,Holyoke,MA,01040,"PK,K,01,02,03,04,05",Holyoke,01370000,Public School District,       0,      58,      52,      52,      55,      54,      55,      47,      59,      68,       0,       0,       0,       0,0.0,     500,     151,  30.2,     105,  21.0,      87,  17.4,     434,  86.8, , , , ,   2.8,   0.6,  77.4,  18.2,   0.0,   0.0,   1.0,  50.4,  49.6,     139,16.8,        445,43.3,97.7,     149,96.6,11.5,"     $32,064,946","  $64,686",    495.7,"          $87,775,963.51","           5,737.3","              $15,299.18","         $103,534,976.74","           6,717.6","              $15,412.50",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Holyoke: H.B. Lawrence School,01370070,Public School,Holyoke,MA,01040,"PK,K,01,02,03",Holyoke,01370000,Public School District,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"     $32,064,946","  $64,686",    495.7,"          $87,775,963.51","           5,737.3","              $15,299.18","         $103,534,976.74","           6,717.6","              $15,412.50",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Holyoke: Holyoke High,01370505,Public School,Holyoke,MA,01040,"09,10,11,12",Holyoke,01370000,Public School District,       0,       0,       0,       0,       0,       0,       0,       0,       0,       0,     462,     305,     269,     232,0.0,"   1,268",     563,  44.4,     117,   9.2,     174,  13.7,     811,  64.0, , , , ,   4.7,   1.0,  64.7,  29.7,   0.0,   0.0,   0.0,  47.4,  52.6,     438,18.5,"      1,177",86.9,96.5,     417,98.3,14.6,"     $32,064,946","  $64,686",    495.7,"          $87,775,963.51","           5,737.3","              $15,299.18","         $103,534,976.74","           6,717.6","              $15,412.50",       296,67.6,9.8,2.0,3.7,16.6,0.3,"   1,268",79.0,6.2,214.0,160.0,74.8,0.0,10.3224,53.3324,11.22,51.9112,6.0588,4.7124,21.5424,214.0,72.0,33.6,83.0,     132,55.0,14.0,8.0,5.0,1.0,39.0,40.0,34.0,17.0,2.0,59.8,40.2,122.0,454.0,479.0
Holyoke: Holyoke Middle School,01370325,Public School,Holyoke,MA,01040,"06,07,08",Holyoke,01370000,Public School District,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"     $32,064,946","  $64,686",    495.7,"          $87,775,963.51","           5,737.3","              $15,299.18","         $103,534,976.74","           6,717.6","              $15,412.50",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Holyoke: Holyoke STEM Academy,01370320,Public School,Holyoke,MA,01040,"06,07,08",Holyoke,01370000,Public School District,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"     $32,064,946","  $64,686",    495.7,"          $87,775,963.51","           5,737.3","              $15,299.18","         $103,534,976.74","           6,717.6","              $15,412.50",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Holyoke: Joseph Metcalf School,01370003,Public School,Holyoke,MA,01040,"PK,K,01,02,03,04,05,06,07,08",Holyoke,01370000,Public School District,     206,       0,       0,       0,       0,       0,       0,       0,       0,       0,       0,       0,       0,       0,0.0,     206,      14,   6.8,       2,   1.0,      91,  44.2,     111,  53.9, , , , ,   1.9,   1.0,  61.2,  35.9,   0.0,   0.0,   0.0,  56.8,  43.2,       9,22.7,        204,10.0,100.0,      42,100.0,20.6,"     $32,064,946","  $64,686",    495.7,"          $87,775,963.51","           5,737.3","              $15,299.18","         $103,534,976.74","           6,717.6","              $15,412.50",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Holyoke: Kelly Elementary,01370040,Public School,Holyoke,MA,01040,"PK,K,01,02,03,04,05",Holyoke,01370000,Public School District,       0,      70,      74,      66,      73,      65,      59,      53,      55,      58,       0,       0,       0,       0,0.0,     573,     390,  68.1,     282,  49.2,     106,  18.5,     557,  97.2, , , , ,   1.4,   0.5,  95.8,   2.3,   0.0,   0.0,   0.0,  50.8,  49.2,     119,15.7,        550,46.3,95.7,     171,94.7,12.4,"     $32,064,946","  $64,686",    495.7,"          $87,775,963.51","           5,737.3","              $15,299.18","         $103,534,976.74","           6,717.6","              $15,412.50",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Holyoke: Lt Clayre Sullivan Elementary,01370055,Public School,Holyoke,MA,01040,"PK,K,01,02,03,04,05,06,07,08",Holyoke,01370000,Public School District,       0,      67,      59,      67,      58,      61,      66,      77,      70,      69,       0,       0,       0,       0,0.0,     594,     287,  48.3,     139,  23.4,     163,  27.4,     467,  78.6, , , , ,   2.7,   0.7,  69.0,  27.1,   0.0,   0.2,   0.3,  52.9,  47.1,     187,19.1,        590,46.7,97.9,     287,96.5,12.7,"     $32,064,946","  $64,686",    495.7,"          $87,775,963.51","           5,737.3","              $15,299.18","         $103,534,976.74","           6,717.6","              $15,412.50",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Holyoke: Lt Elmer J McMahon Elementary,01370015,Public School,Holyoke,MA,01040,"PK,K,01,02,03,04,05,06,07,08",Holyoke,01370000,Public School District,       0,      43,      68,      61,      31,      52,      45,      57,      48,      56,       0,       0,       0,       0,0.0,     461,     137,  29.7,      87,  18.9,     100,  21.7,     351,  76.1, , , , ,   1.5,   1.1,  60.1,  36.4,   0.2,   0.2,   0.4,  53.8,  46.2,      99,24.1,        446,34.0,97.1,     115,100.0,13.6,"     $32,064,946","  $64,686",    495.7,"          $87,775,963.51","           5,737.3","              $15,299.18","         $103,534,976.74","           6,717.6","              $15,412.50",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Holyoke: Maurice A Donahue Elementary,01370060,Public School,Holyoke,MA,01040,"PK,K,01,02,03,04,05",Holyoke,01370000,Public School District,       0,      60,      51,      61,      43,      58,      55,      48,      54,      43,       0,       0,       0,       0,0.0,     473,     253,  53.5,     120,  25.4,     117,  24.7,     432,  91.3, , , , ,   6.6,   1.7,  76.3,  15.2,   0.0,   0.0,   0.2,  54.8,  45.2,     120,13.7,        464,39.8,92.5,     164,82.3,11.9,"     $32,064,946","  $64,686",    495.7,"          $87,775,963.51","           5,737.3","              $15,299.18","         $103,534,976.74","           6,717.6","              $15,412.50",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Holyoke: Morgan Full Service Community School,01370025,Public School,Holyoke,MA,01040,"PK,K,01,02,03,04,05",Holyoke,01370000,Public School District,       0,      31,      43,      40,      38,      51,      39,      47,      34,      49,       0,       0,       0,       0,0.0,     372,     231,  62.1,     159,  42.7,      80,  21.5,     366,  98.4, , , , ,   4.6,   0.8,  88.7,   5.9,   0.0,   0.0,   0.0,  47.6,  52.4,     113,13.9,        366,38.3,100.0,     120,100.0,9.7,"     $32,064,946","  $64,686",    495.7,"          $87,775,963.51","           5,737.3","              $15,299.18","         $103,534,976.74","           6,717.6","              $15,412.50",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Holyoke: William R. Peck School,01370030,Public School,Holyoke,MA,01040,"04,05,06,07,08",Holyoke,01370000,Public School District,       0,      79,      75,      50,      53,      63,      68,      69,      75,      80,       0,       0,       0,       0,0.0,     612,     398,  65.0,     261,  42.6,     137,  22.4,     566,  92.5, , , , ,   5.6,   1.1,  88.9,   4.4,   0.0,   0.0,   0.0,  49.2,  50.8,     173,13.8,        574,55.4,98.2,     243,97.5,11.1,"     $32,064,946","  $64,686",    495.7,"          $87,775,963.51","           5,737.3","              $15,299.18","         $103,534,976.74","           6,717.6","              $15,412.50",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Holyoke Community Charter (District): Holyoke Community Charter School,04530005,Charter School,Holyoke,MA,01040,"K,01,02,03,04,05,06,07,08",Holyoke Community Charter (District),04530000,Charter District,       0,      78,      58,      90,     116,      85,      93,      69,      74,      47,       0,       0,       0,       0,0.0,     710,     186,  26.2,      47,   6.6,      66,   9.3,     593,  83.5, , , , ,   3.1,   0.4,  86.1,   8.7,   0.0,   0.0,   1.7,  47.5,  52.5,     234,26.5,        710,46.1,74.0,     169,98.2,15.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
